,2024-12-31
FreeCashFlow,-42012000000.0
RepurchaseOfCapitalStock,-28680000000.0
RepaymentOfDebt,-96605000000.0
IssuanceOfDebt,109915000000.0
IssuanceOfCapitalStock,2500000000.0
InterestPaidSupplementalData,99642000000.0
IncomeTaxPaidSupplementalData,11715000000.0
EndCashPosition,469317000000.0
BeginningCashPosition,624151000000.0
EffectOfExchangeRateChanges,-12866000000.0
ChangesInCash,-141968000000.0
FinancingCashFlow,63447000000.0
CashFlowFromContinuingFinancingActivities,63447000000.0
NetOtherFinancingCharges,74000000.0
CashDividendsPaid,-14783000000.0
NetPreferredStockIssuance,-7350000000.0
PreferredStockPayments,-9850000000.0
PreferredStockIssuance,2500000000.0
NetCommonStockIssuance,-18830000000.0
CommonStockPayments,-18830000000.0
NetIssuancePaymentsOfDebt,20749000000.0
NetShortTermDebtIssuance,7439000000.0
NetLongTermDebtIssuance,13310000000.0
LongTermDebtPayments,-96605000000.0
LongTermDebtIssuance,109915000000.0
InvestingCashFlow,-163403000000.0
CashFlowFromContinuingInvestingActivities,-163403000000.0
NetOtherInvestingChanges,-2146000000.0
NetInvestmentPurchaseAndSale,-114934000000.0
SaleOfInvestment,242487000000.0
PurchaseOfInvestment,-357421000000.0
NetBusinessPurchaseAndSale,-2362000000.0
PurchaseOfBusiness,-2362000000.0
OperatingCashFlow,-42012000000.0
CashFlowFromContinuingOperatingActivities,-42012000000.0
ChangeInWorkingCapital,-114220000000.0
ChangeInOtherWorkingCapital,-112215000000.0
ChangeInOtherCurrentAssets,-7650000000.0
ChangeInPayablesAndAccruedExpense,-90000000.0
ChangeInPayable,-90000000.0
ChangeInAccountPayable,-90000000.0
ChangeInReceivables,5735000000.0
ChangesInAccountReceivables,5735000000.0
OtherNonCashItems,1107000000.0
DeferredTax,2004000000.0
DeferredIncomeTax,2004000000.0
DepreciationAmortizationDepletion,7938000000.0
DepreciationAndAmortization,7938000000.0
OperatingGainsLosses,-7990000000.0
GainLossOnInvestmentSecurities,-7990000000.0
GainLossOnSaleOfBusiness,
NetIncomeFromContinuingOperations,58471000000.0
